epoch,accuracy,loss,val_accuracy,val_loss,gap_accuracy,gap_pp,alerta_gap
1,0.7278381586074829,0.8175801038742065,0.28141072392463684,3.3824656009674072,0.44642743468284607,44.64274346828461,True
2,0.826562762260437,0.49887028336524963,0.6197648644447327,1.7392481565475464,0.20679789781570435,20.679789781570435,True
3,0.8678948283195496,0.3897075653076172,0.550330638885498,2.3656928539276123,0.3175641894340515,31.75641894340515,True
4,0.8872618675231934,0.32788315415382385,0.5022042393684387,3.2189459800720215,0.38505762815475464,38.505762815475464,True
5,0.9063926935195923,0.27929848432540894,0.24981631338596344,9.22908878326416,0.6565763801336288,65.65763801336288,True
6,0.9165485501289368,0.24637022614479065,0.4665687084197998,5.018437385559082,0.44997984170913696,44.997984170913696,True
7,0.927176833152771,0.21783499419689178,0.6135194897651672,2.711500644683838,0.31365734338760376,31.365734338760376,True
8,0.9270193576812744,0.20816291868686676,0.5231447219848633,1.8515185117721558,0.40387463569641113,40.38746356964111,True
9,0.9367029070854187,0.18898120522499084,0.5977222919464111,2.113654136657715,0.33898061513900757,33.89806151390076,True
